SN_EOR_FK,GEO_MARKER_NAME,TOP_MD
-110590,Yellow Sd (Lower Rob E),13037.0
-110590,G-35 Sd (Text X),8936.0
-128299,Rob E Sd,11930.0
-128299,G-35 Sd (Tex X),8936.0
-128299,Yellow Sd (Lower Rob E),13037.0
-122286,G-35 Sd (Text X),8936.0
-122286,Rob E Sd,11930.0
-122286,Yellow Sd (Lower Rob E),13037.0
-136146,G-35 Sd (Tex X),8936.0
-136146,Rob E,11930.0
-136146,Yellow Sd (Lower Rob E),13037.0
-139772,G-35 Sd (Tex X),8936.0
-139772,Rob E,11930.0
-111390,4700' Sand,9914.0
-111390,Tex L Sand,
-112208,KA B-1 Sand,12159.0
-112208,KJ B-1 Sand,12991.0
-112208,KM B-3 Sand,13280.0
-112208,KS B-1 Sand,13910.0
-111286,"6,800' Sand",
-111286,"8,000' Sand",
-132472,6000U,5894.0
-132472,6800,6762.0
-132472,6925,7142.0
-110799,BigHum_b Sand,12907.0
-141296,3800 Sand,10233.0
-141296,BigHum B Sand,12911.0
-141296,UM100A Sand,12398.0
-141296,BigHum A Sand ,12613.0
-108638,Horizon 40,11773.0
-108762,TEXT L,14044.0
-117777,FR40,14530.0
-117777,FR42,14685.0
-117777,FR44,14899.0
-117777,VJC10,15231.0
-117777,VJC20,16328.0
-117777,YEGUA,16773.0
-117777,COOK MOUNTAIN,16913.0
-117777,RECLAW,17237.0
-117777,WM10,17628.0
-117777,WM12,17773.0
-201865,WM10,17628.0
-201865,WM12,17773.0
-108634,C Sand,6740.0
-108634,B Sand,6230.0
-108634,G1 Sand,7440.0
-108634,K Sand,9890.0
-132472,7500 series,7728.0
-132472,8100,8238.0
-132472,6900,7002.0
-132472,7250,7554.0
-111187,H-3 sand,11215.0
-110566,TX-1,9555.0
-110566,BA-1,10090.0
-110566,BA-5,11210.0
-110566,Listerella/BB-5,15855.0
-110589,Lentic,11605.0
-110620,H,16928.0
-110620,I,17023.0
-110827,BN 9300' Sand,9684.0
-110627,Who Dat or NMP,
-110627,Oligocene,26650.0
-110627,Viking or 27K Sand,25545.0
-187435,Top Salt,15162.0
-187435,Bottom Salt,22825.0
-110849,GALT-40,14078.0
-110849,GMARG-10,14573.0
-127943,Galt 40 Sand,14078.0
-127943,GMarg10 Sand,14573.0
-110694,Cib Op,8230.0
-110694,Amph B,10080.0
-110694,Rob L-5,10935.0
-110694,Gyro K,13100.0
-110694,Marg A-1B,16054.0
-110694,Marg A-1,15710.0
-110694,Marg A-2,16537.0
-130423,Marg A,15710.0
-110635,G4,14760.0
-110635,J2,15432.0
-110635,L,15858.0
-110635,G2,14431.0
-110635,G1,14050.0
-110635,G3,14602.0
-110635,H,14971.0
-110635,I,15175.0
-110635,I2,15215.0
-110635,JO,15314.0
-110635,J4,15472.0
-110635,J6,15633.0
-110632,Textularia W,11580.0
-152612,Bigenerina humblei,12750.0
-152612,Cibicides opima,13680.0
-152612,Top Oligocene,19800.0
-152612,Robulus L,17070.0
-152612,Top Eocene,23600.0
-152612,Top Paleocene,25080.0
-110967,,
-110958,B-7 Sand,7467.0
-110958,B-9 Sand,
-110757,7300' Sand,9788.0
-110757,7400' Sand,9940.0
-143704,7000' Sand ,9394.0
-143704,7400' Sand,9940.0
-143704,7300' Sand,9792.0
-110706,A Sand,
-111905,Tex L-1 Sand,7588.0
-111905,Tex L-2 Sand,7140.0
-111905,Big 2-1 Sand,8024.0
-111412,5600' Sand,4873.0
-111412,6400' Sand,5422.0
-113476,G Sand,
-113476,J Sand,9976.0
-113476,8200'  Sand,
-111765,Tex W,
-112329,6150' Sand,6700.0
-111625,6150' Sand,6700.0
-111678,H-3 sand,11290.0
-136704,H-3,11320.0
-112470,TEX-2E,13730.0
-112470,TEX-2A,13280.0
-112470,TEX-2C,13498.0
-112470,TEX-1A,13032.0
-127950,TX-2A Sand,13280.0
-111884,C-10 Sand,14104.0
-111884,C-9 Sand,
-140473,C-9 Sand,13890.0
-140473,C-10 Sand,14104.0
-175083,C-6 Sand,13450.0
-175083,C-7 Sand,13530.0
-113969,"10,000' Sand",
-128024,"10,000' SAND",11152.0
-138937,10000' Sand,11152.0
-112225,N-2 Sand,17486.0
-112403,E Sand,8070.0
-112403,D Sand,7520.0
-112403,C Sand,6520.0
-112403,A Sand,5915.0
-112403,B-10 Sand,5575.0
-147559,H ,10174.0
-112693,GA-2 Sand,5916.0
-112693,HB-1 Sand,7000.0
-112693,HB-3 Sand,7328.0
-112881,Cris I,8280.0
-112881,Amph B,10120.0
-112881,HH Sand,7400.0
-113362,9300' Sand,9377.0
-113362,9400' Sand,9528.0
-113362,9600' Sand,9776.0
-113362,9800' Sand,10040.0
-113362,10200' Sand,10844.0
-113362,10250' Sand,10905.0
-113362,10300' Sand,11000.0
-113362,10400' Sand,11126.0
-140996,9400' Sand,9528.0
-140996,9800' Sand,10040.0
-112422,Rob L B Sand,
-112939,Tex L-4 Stray,11240.0
-112939,Cib Carst N,12030.0
-112939,Cib Carst N1,12145.0
-113193,9200' Sand,9564.0
-113193,9300' Sand,9720.0
-113193,"11,300' Sand",11832.0
-113193,"13,200' Sand",13269.0
-141804,9200' Sand,9564.0
-141804,9300' Sand,9720.0
-141804,"11,300' Sand",11832.0
-141804,"13,200' Sand",13269.0
-151233,9200' Sand,9564.0
-151233,9300' Sand,9720.0
-151233,"11,300' Sand",11832.0
-151233,"13,200' Sand",13269.0
-113751,9900' Sand,11238.0
-113751,10250' Sand,11578.0
-140128,9900' Sand,11238.0
-140128,10250' Sand,11578.0
-174495,9500 Sand,10570.0
-174495,9600 Sand,10820.0
-174495,9650,10883.0
-174495,9800 Sand,11066.0
-174495,9900/9950 FB-D,11303.0
-174495,10250 Sand,11578.0
-112866,Angulogerina B (By Correlation),4723.0
-112866,Lenticulina 1 (By Correlation),5950.0
-112866,CS-3 Sand,4490.0
-112866,CS-3A Sand,4807.0
-112866,TP-1 Sand,6368.0
-112866,TP-2 Sand,6595.0
-112866,TP-6 Sand,6844.0
-112866,TP-9 Sand,
-112866,Trimosina A (By Correlation),3640.0
-112866,CS-2 Sand,4255.0
-135446,HP Sand,7796.0
-112613,5600' Sand,
-112613,5800' Sand,
-112613,6700' Sand,
-112872,Cib Carst,10692.0
-133024,Cib-Carst Sd,10692.0
-133024,Upper Cib-Carst Sd ,10478.0
-113475,D-5 Sand,
-113475,D-8 Sand,
-113475,D-10 Sand,
-113094,S4-A Sand,10360.0
-113094,D-2 Sand,10978.0
-113094,D-3 Sand,11349.0
-113296,TRIMOSINA A (by correlation),3946.0
-113296,CS-2,4877.0
-113296,CS-3,5190.0
-113296,ANGULOGERINA B (by correlation),5470.0
-113296,CS-3A,5642.0
-113296,LENTICULINA 1 (by correlation),6638.0
-113296,TP-1,6670.0
-113296,TP-2,6728.0
-113296,TP-6,6908.0
-113296,TP-9,
-113267,KD Sand,11053.0
-113267,KJ Sand,11393.0
-113267,KM G-5ST,11588.0
-113267,KS G5ST,
-176295,KM G-5,11588.0
-112661,FQ Sand,5780.0
-112661,GG Sand,
-112796,N-2 Sand,17476.0
-133604,N-2,17476.0
-138542,N-2,17476.0
-115395,HB-1 Sand,6750.0
-115395,HB-3 Sand,7068.0
-113104,8600' Sand,10474.0
-113104,8700' Sand,10653.0
-113104,C-2 Sand,
-113104,C-3 Sand,
-112755,E Sand,
-114466,Tex W2,12457.0
-114466,Tex W6,
-112855,Tex W2,12457.0
-112855,Tex W6,
-113395,7300' Sand,7661.0
-126865,7300' Sand,7661.0
-113324,GA Sand,6270.0
-113324,HB Sand,7086.0
-113201,PB-2 Sand,8707.0
-113201,A-3 Sand,7753.0
-113201,B-1 Sand,10925.0
-113201,B-4 Sand,12272.0
-113326,Bigenerina humblei,10060.0
-113326,Cibicides opima,11575.0
-176032,I-1 SAND,10676.0
-138114,H Sand,4986.0
-125769,BN 1A,
-125769,BN 1b,
-125769,BN Ja,
-125769,BN Ka-1,11289.0
-125769,BN L,
-125769,BN M,
-125769,BN O,12860.0
-125769,Bul 1 I,
-125769,Bul 1 J MID,
-134823,BN Ka-1,11289.0
-134823,BN O,12860.0
-134823,BN 1A,
-134823,BN 1b,
-134823,BN Ja,
-134823,BN M,
-134823,Bul 1 L,
-134823,Bul 1 J MID,
-134823,BN L,
-113250,CM-15C Sand,11680.0
-147769,CM-15CBB Lower Sand,11680.0
-159270,CM-15CBB Lower Sand,11680.0
-113307,8600' Sand,10462.0
-113307,8700' Sand,10654.0
-113307,C-2 Sand,12893.0
-113307,C-3 Sand,13257.0
-114356,U Sand,
-113407,4200 Sand,4298.0
-113407,4700 Sand,4921.0
-113407,Siph D2,5165.0
-129467,4200 Sand,4298.0
-129467,4700 Sand,4921.0
-129467,Siph D2,5165.0
-179728,E-2,12024.0
-179728,"G-1/2,3,5",14827.0
-114237,Y-1 Sand,5365.0
-114237,EF Sand,4547.0
-113548,Top Salt,11921.0
-113548,Base of Salt,19230.0
-113548,M8A_Top,20317.0
-113548,M21A _10 Top,27809.0
-114571,11300' SAND,12149.0
-114571,11700' SAND,12766.0
-114571,12400' SAND,13751.0
-140714,11300' SAND,12149.0
-140714,11700' SAND,12766.0
-140714,12400' SAND,13751.0
