Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0002332","1","SEVEN SEAS (IMO 6926012)","SEVEN SEAS (IMO 6926012): ","Syrian Arab Republic","General Cargo","1999-12-31 00:00","","Very serious marine casualty","","","","0",""
"C0002529","2","EGYPTIAN NAVY SHIP NO.445, M. F. LEADER (IMO 8120387)","EGYPTIAN NAVY SHIP NO.445: , M. F. LEADER (IMO 8120387): ","Egypt, Panama",", Container","1999-12-31 00:00","","Marine casualty","","2 cables from Great Pass Beacon Brg 135º","","0",""
"C0003055","1","SOCIALITY (IMO 8214346)","SOCIALITY (IMO 8214346): ","United Kingdom","General Cargo","1999-12-31 00:00","","Marine casualty","","Irish Sea","","0",""
"C0002547","1","FULL CITY (IMO 9073672)","FULL CITY (IMO 9073672): ","Panama","Bulk Dry","1999-12-30 00:00","","Marine casualty","","","","0",""
"C0003054","1","LEON (IMO 7806570)","LEON (IMO 7806570): ","Cyprus","General Cargo","1999-12-29 00:00","","Marine casualty","","Mediterranean Sea","","0",""
"C0003041","1","MINT ASTRA (IMO 8812904)","MINT ASTRA (IMO 8812904): ","Bahamas","General Cargo","1999-12-29 00:00","","Marine casualty","","At Armaport","","0",""
"C0003043","1","VOLGONEFT-248 (IMO 8728000)","VOLGONEFT-248 (IMO 8728000): ","Russian Federation","Oil Tanker","1999-12-28 00:00","","Very serious marine casualty","","At Menekse Anchorage, Istambul","","0",""
"C0002988","1","FRIGGA","FRIGGA: ","Antigua and Barbuda","Non-ship structures","1999-12-28 00:00","","Marine casualty","","English Channel","","0",""
"C0003651","1","JUNEAU","JUNEAU: ","United States","Non-ship structures","1999-12-28 00:00","","Very serious marine casualty","","Seattle Harbour, pier 15 1/2, Washington","","1","Canada"
"C0003042","1","RILOS (IMO 7736921)","RILOS (IMO 7736921): ","Malta","General Cargo","1999-12-27 00:00","","Marine casualty","","At Bilbao","","0",""
"C0003065","1","LADY HADIL (IMO 5013961)","LADY HADIL (IMO 5013961): ","Syrian Arab Republic","General Cargo","1999-12-27 00:00","","Marine casualty","","ON Irwad Island, near Tartus","","0",""
"C0003039","1","HEDLO (IMO 7124879)","HEDLO (IMO 7124879): ","Bahamas","General Cargo","1999-12-25 00:00","","Marine casualty","","8 miles WSW of Haugesund, North Sea","","1","Bahamas"
"C0003034","1","CONFIDENCE (IMO 8325121)","CONFIDENCE (IMO 8325121): ","Netherlands (Kingdom of)","General Cargo","1999-12-25 00:00","","Marine casualty","","60 miles E of Berwick-upon-Tweed","","0",""
"C0002550","1","TWINKLE ACE (IMO 8909575)","TWINKLE ACE (IMO 8909575): ","Panama","General Cargo","1999-12-25 00:00","","Marine casualty","","","","0",""
"C0002261","1","SONSOLES","SONSOLES: ","Spain","Dredging","1999-12-25 00:00","","Very serious marine casualty","","Puerto de El Ferrol","","0",""
"C0002150","1","BARDE TEAM (IMO 7503635)","BARDE TEAM (IMO 7503635): ","Norway","General Cargo","1999-12-24 00:00","","Very serious marine casualty","","Indian Ocean","","0",""
"C0003035","1","HARNS (IMO 9080675)","HARNS (IMO 9080675): ","Netherlands (Kingdom of)","General Cargo","1999-12-24 00:00","","Marine casualty","","Near Bridgewater Bay","","0",""
"C0002989","1","BLACKFRIARS (IMO 8416475)","BLACKFRIARS (IMO 8416475): ","United Kingdom","Oil Tanker","1999-12-24 00:00","","Marine casualty","","","","0",""
"C0003040","1","JUSTO (IMO 7015509)","JUSTO (IMO 7015509): ","Bahamas","General Cargo","1999-12-23 00:00","","Marine casualty","","At Steinsoy Light, entering Karmsundet, near Hauge","","0",""
"C0003047","1","ASIA SOUTH KOREA (IMO 7213046)","ASIA SOUTH KOREA (IMO 7213046): ","Philippines","Non-ship structures","1999-12-23 00:00","","Very serious marine casualty","","Off Bantayan Island","","1","Philippines"
"C0003048","1","INGEBORG PILOT (IMO 8010415)","INGEBORG PILOT (IMO 8010415): ","Norway","General Cargo","1999-12-22 00:00","","Marine casualty","","North Sea","","0",""
"C0002432","1","XIN ZHU JIANG (IMO 7515298)","XIN ZHU JIANG (IMO 7515298): ","China","Bulk Dry","1999-12-21 00:00","","Very serious marine casualty","","South China Sea","","0",""
"C0003049","1","MINTHI (IMO 8120806)","MINTHI (IMO 8120806): ","Cyprus","General Cargo","1999-12-20 00:00","","Marine casualty","","20 miles from Port of Spain, Trinidad and Tobago","","0",""
"C0003036","1","APNOIA (IMO 7925077)","APNOIA (IMO 7925077): ","Malta","Oil Tanker","1999-12-20 00:00","","Marine casualty","","Entering Cape Fear River","","0",""
"C0003038","1","CARVELA (IMO 7708663)","CARVELA (IMO 7708663): ","United Kingdom","Fish Catching","1999-12-19 00:00","","Very serious marine casualty","","60 miles NE of Fraserburgh, Scotland","","1","United Kingdom"
"C0003044","1","ALGONORTH (IMO 7028104)","ALGONORTH (IMO 7028104): ","Canada","Bulk Dry","1999-12-19 00:00","","Marine casualty","","Cargill Dock, Sarnia, Ontario","","0",""
"C0003037","1","BERNICE (IMO 7803528)","BERNICE (IMO 7803528): ","Netherlands (Kingdom of)","Oil Tanker","1999-12-18 00:00","","Marine casualty","","At Cultra, Belfast Lough","","0",""
"C0002545","1","OCEAN SURF (IMO 8006270)","OCEAN SURF (IMO 8006270): ","Panama","Bulk Dry","1999-12-17 00:00","","Marine casualty","","KM331 of River Parana","","0",""
"C0002570","1","VIOLET OCEAN (IMO 8204652)","VIOLET OCEAN (IMO 8204652): ","Panama","General Cargo","1999-12-16 00:00","","Very serious marine casualty","","about 40 nautical miles off Shantou","","0",""
"C0002445","1","CAPRICORN (IMO 7424047)","CAPRICORN (IMO 7424047): ","Saint Vincent and the Grenadines","General Cargo","1999-12-16 00:00","","Very serious marine casualty","","91 nautical miles off Aruba","","0",""
"C0002449","1","DONAL PARAIC (IMO 8414788)","DONAL PARAIC (IMO 8414788): ","Malta","General Cargo","1999-12-16 00:00","","Very serious marine casualty","","36 miles N.W. of Corunna","","0",""
"C0003045","1","ANDREA (IMO 8705618)","ANDREA (IMO 8705618): ","Malta","Oil Tanker","1999-12-16 00:00","","Marine casualty","","Panama Canal, approcahing Cuararacha reach","","0",""
"C0003046","1","APALIS ARROW (IMO 8013869)","APALIS ARROW (IMO 8013869): ","Bahamas","Bulk Dry","1999-12-15 00:00","","Marine casualty","","Harmaca, British Columbia","","0",""
"C0003067","1","PATROKLOS (IMO 7926174)","PATROKLOS (IMO 7926174): ","Cyprus","Oil Tanker","1999-12-15 00:00","","Marine casualty","","Near Dakar, Senegal, Atlantic Ocean","","0",""
"C0002378","2","CCHANG, TKC 010","CCHANG: , TKC 010: ","China, Unknown","Fish Catching, Oil Tanker","1999-12-15 00:00","","Very serious marine casualty","","160 miles off Atsumioshima","","0",""
"C0002372","1","KATY P","KATY P: ","United States","Towing / Pushing","1999-12-14 00:00","","Marine casualty","","near Port Arthur","","0",""
"C0002273","1","PRIVILEGE","PRIVILEGE: ","Malta","General Cargo","1999-12-14 00:00","","Marine casualty","","approx. 60 miles north of Tobago","","0",""
"C0002551","1","BALTICBORG (IMO 8817370)","BALTICBORG (IMO 8817370): ","Netherlands (Kingdom of)","General Cargo","1999-12-14 00:00","","Marine casualty","","Pitea archipelago","","0",""
"C0002990","1","ROUSTEL (IMO 7422532)","ROUSTEL (IMO 7422532): ","Bahamas","General Cargo","1999-12-14 00:00","","Marine casualty","","5 miles S of Montrose","","0",""
"C0002992","1","EMMA LOUISE","EMMA LOUISE: ","United Kingdom","","1999-12-13 00:00","","Marine casualty","","","","0",""
"C0003051","1","STUDZIANKI (IMO 7405534)","STUDZIANKI (IMO 7405534): ","Poland","Bulk Dry","1999-12-12 00:00","","Marine casualty","","White Sea","","0",""
"C0002534","2","SILVER RIVER (IMO 9186716), YU LIM NO. 1 (IMO 6614009)","SILVER RIVER (IMO 9186716): , YU LIM NO. 1 (IMO 6614009): ","Saint Vincent and the Grenadines, Republic of Korea","Oil Tanker, General Cargo","1999-12-12 00:00","","Marine casualty","","off Ulsan","","0",""
"C0002423","1","ERIKA (IMO 7377854)","ERIKA (IMO 7377854): ","Malta","Oil Tanker","1999-12-12 00:00","","Very serious marine casualty","","Off Pointe de Penmarch","","3","France; Unknown; Malta"
"C0002325","1","NORTHERN HOPE (IMO 8121111)","NORTHERN HOPE (IMO 8121111): ","Panama","General Cargo","1999-12-11 00:00","","Very serious marine casualty","","Pacific Ocean","","0",""
"C0002381","1","ANYO MARU NO. 1 (IMO 8707214)","ANYO MARU NO. 1 (IMO 8707214): ","Japan","Fish Catching","1999-12-10 00:00","","Marine casualty","","192 KM SOUTH OF Cape Navarin, Bering Sea","","0",""
"C0002379","2","ALICE (IMO 5073686), HATAFUKU MARU NO. 58 (IMO 8805030)","ALICE (IMO 5073686): , HATAFUKU MARU NO. 58 (IMO 8805030): ","Panama, Japan","Passenger/Ro-Ro Cargo, Dredging","1999-12-09 00:00","","Marine casualty","","","","0",""
"C0002247","1","EUROPEAN HIGHLANDER (IMO 7636092)","EUROPEAN HIGHLANDER (IMO 7636092): ","Bahamas","Passenger/Ro-Ro Cargo","1999-12-08 00:00","","Marine incident","","Ardrossan Harbour","","0",""
"C0002248","1","KOPALNIA SOSNOWIEC (IMO 7349883)","KOPALNIA SOSNOWIEC (IMO 7349883): ","Poland","Bulk Dry","1999-12-08 00:00","","Marine casualty","","Islets of Santa Catalina, East of Ceuta","","0",""
"C0002252","1","YALIKOY II (IMO 6701929)","YALIKOY II (IMO 6701929): ","Türkiye","General Cargo","1999-12-08 00:00","","Very serious marine casualty","","approx. 120 m N.E. of Eregli","","0",""
"C0002382","1","ATHOS (IMO 7117395)","ATHOS (IMO 7117395): ","Malta","Chemical Tanker","1999-12-06 00:00","","Very serious marine casualty","","Kalamata Roads","","0",""
"C0002383","1","CORNER BROOK (IMO 7420194)","CORNER BROOK (IMO 7420194): ","Bermuda (United Kingdom)","Non-ship structures","1999-12-06 00:00","","Marine casualty","","150 n.m. of Halifax","","0",""
"C0006245","2","CANMAR PRIDE (IMO 9165358), ETERNITY (IMO 8705553)","CANMAR PRIDE (IMO 9165358): , ETERNITY (IMO 8705553): ","Bermuda (United Kingdom), Singapore","Container, Oil Tanker","1999-12-05 23:01","","Marine incident","","anchorage area "Pointe Saint-Jean", St. Lawrence River","","2","Canada; Unknown"
"C0002587","1","ASPHALT TRADER (IMO 7922623)","ASPHALT TRADER (IMO 7922623): ","Panama","Oil Tanker","1999-12-05 00:00","","Very serious marine casualty","","Perama floating dock","","1","Unknown"
"C0002373","1","AEGIR","AEGIR: ","Germany","Container","1999-12-04 00:00","","Marine casualty","","off Chios Island","","0",""
"C0002251","1","SURAYA PACIFIC","SURAYA PACIFIC: ","Unknown","General Cargo","1999-12-04 00:00","","Marine casualty","","Off Laem Talumphuk","","0",""
"C0002249","1","PAULA AHRENS","PAULA AHRENS: ","Unknown","Towing / Pushing","1999-12-04 00:00","","Very serious marine casualty","","","","0",""
"C0002250","1","SEINES","SEINES: ","Unknown","","1999-12-03 00:00","","Marine casualty","","","","0",""
"C0002254","1","ANCONA BRIDGE (IMO 7359797)","ANCONA BRIDGE (IMO 7359797): ","Saint Vincent and the Grenadines","Passenger/Ro-Ro Cargo","1999-12-01 00:00","","Marine casualty","","","","0",""
"C0002327","1","PALATIN (IMO 8902321)","PALATIN (IMO 8902321): ","Antigua and Barbuda","General Cargo","1999-12-01 00:00","","Very serious marine casualty","","114 miles west of Vigo","","1","Antigua and Barbuda"
"C0002801","1","DORSET (IMO 7372658)","DORSET (IMO 7372658): ","Panama","Oil Tanker","1999-12-01 00:00","","Very serious marine casualty","","Kaohsiung","","0",""
"C0003167","1","WET N'  WILD II","WET N'  WILD II: ","Canada","Fish Catching","1999-12-01 00:00","","Very serious marine casualty","","Malpeque Bay, Prince Edward Island","","1","Canada"
"C0002987","1","VIKING VICTOR (IMO 6908606)","VIKING VICTOR (IMO 6908606): ","United Kingdom","Non-ship structures","1999-12-01 00:00","","Marine casualty","","North Sea","","0",""
"C0002542","1","SIRIUS (IMO 7004342)","SIRIUS (IMO 7004342): ","Sweden","Oil Tanker","1999-11-29 00:00","","Marine casualty","","Brofjorden East of Bohus Malmon","","0",""
"C0002257","1","SJARD (IMO 8817617)","SJARD (IMO 8817617): ","Antigua and Barbuda","General Cargo","1999-11-28 00:00","","Marine casualty","","75 miles off Mizen Head","","0",""
"C0002255","1","HAVSOKI (IMO 5369279)","HAVSOKI (IMO 5369279): ","Denmark","Fish Catching","1999-11-27 00:00","","Very serious marine casualty","","","","1","Denmark"
"C0002544","1","HORNSEA (IMO 9150810)","HORNSEA (IMO 9150810): ","Panama","Refrigerated Cargo","1999-11-27 00:00","","Marine casualty","","Chiriqui Grande Channel","","0",""
"C0002469","1","SLEIPNER (IMO 9193032)","SLEIPNER (IMO 9193032): ","Norway","Non-ship structures","1999-11-26 00:00","","Very serious marine casualty","","Store Bloksen rocks, off Haugesund","","1","Australia"
"C0002338","1","ELIZA (IMO 8027729)","ELIZA (IMO 8027729): ","Marshall Islands","Container","1999-11-26 00:00","","Very serious marine casualty","","Bay of Bengal","","1","Marshall Islands"
"C0002994","1","EMMA JAYNE","EMMA JAYNE: ","United Kingdom","Fish Catching","1999-11-26 00:00","","Very serious marine casualty","","North Sea","","1","United Kingdom"
"C0003431","1","OBO VENTURE (IMO 8116934)","OBO VENTURE (IMO 8116934): ","Liberia","Non-ship structures","1999-11-26 00:00","","Marine casualty","","off Port Cartier","","0",""
"C0002472","1","DASHUN","DASHUN: ","China","Non-ship structures","1999-11-25 00:00","","Very serious marine casualty","","off Yantai","","0",""
"C0002576","1","SALDANHA (IMO 9050010)","SALDANHA (IMO 9050010): ","Isle of Man (United Kingdom)","Bulk Dry","1999-11-25 00:00","","Marine casualty","","Atlantic Ocean","","1","United Kingdom"
"C0003000","1","REDA (IMO 7427611)","REDA (IMO 7427611): ","Malta","General Cargo","1999-11-24 00:00","","Marine casualty","","Near the Humber Estuary","","0",""
"C0002471","1","TAI HUA (IMO 7632644)","TAI HUA (IMO 7632644): ","Saint Vincent and the Grenadines","General Cargo","1999-11-23 00:00","","Marine casualty","","Vladivostok","","0",""
"C0002772","1","BJARNAREY (IMO 7311276)","BJARNAREY (IMO 7311276): ","Ireland","Fish Catching","1999-11-23 00:00","","Very serious marine casualty","","North Sea","","0",""
"C0002428","1","SEEFALK","SEEFALK: ","Belize","","1999-11-23 00:00","","Very serious marine casualty","","New Caledonia","","0",""
"C0002253","1","FEDERAL OSHIMA (IMO 9200330)","FEDERAL OSHIMA (IMO 9200330): ","Hong Kong, China","Bulk Dry","1999-11-22 00:00","","Marine casualty","","Sorel dock","","0",""
"C0002473","1","SEMELI (IMO 6914124)","SEMELI (IMO 6914124): ","Saint Vincent and the Grenadines","General Cargo","1999-11-21 00:00","","Marine casualty","","30 miles off Cape Finisterre","","0",""
"C0002470","1","ORIENTAL ANGEL (IMO 7112577)","ORIENTAL ANGEL (IMO 7112577): ","Belize","Non-ship structures","1999-11-21 00:00","","Marine casualty","","Bering Sea","","0",""
"C0002543","1","UNION RICH (IMO 8203701)","UNION RICH (IMO 8203701): ","Panama","General Cargo","1999-11-21 00:00","","Marine casualty","","","","0",""
"C0002546","1","BALLERINA (IMO 7922178)","BALLERINA (IMO 7922178): ","Norway","Non-ship structures","1999-11-21 00:00","","Marine casualty","","","","0",""
"C0003188","1","HIGHLAND FAITH (IMO 7922178)","HIGHLAND FAITH (IMO 7922178): ","Panama","Non-ship structures","1999-11-21 00:00","","Marine casualty","","16 NNE of Rostock, Germany","","0",""
"C0002458","1","CANMAR TRIUMPH (IMO 7718620)","CANMAR TRIUMPH (IMO 7718620): ","Bermuda (United Kingdom)","Container","1999-11-20 00:00","","Marine casualty","","near Varennes","","0",""
"C0002480","1","SERGO ZAGARIADZE","SERGO ZAGARIADZE: ","Unknown","","1999-11-18 00:00","","Marine casualty","","San Juan Ship Channel, near El Morro Castle","","0",""
"C0002540","1","MYS KRYLOVA (IMO 7226158)","MYS KRYLOVA (IMO 7226158): ","Russian Federation","Non-ship structures","1999-11-18 00:00","","Marine casualty","","Nakhodka Ship Repair Yard","","0",""
"C0002256","1","CANDOURITY (IMO 7413971)","CANDOURITY (IMO 7413971): ","United Kingdom","General Cargo","1999-11-18 00:00","","Marine casualty","","off Dover","","0",""
"C0003172","1","ALFA BRITANNIA (IMO 9154232)","ALFA BRITANNIA (IMO 9154232): ","Bahamas","Oil Tanker","1999-11-18 00:00","","Marine casualty","","Tranmere Oil Terminal, river Mersey","","1","United Kingdom"
"C0002999","2","ANTOINE JUNIOR, ETOILE DU DESTIN","ANTOINE JUNIOR: , ETOILE DU DESTIN: ","Netherlands (Kingdom of), France","Container, Fish Catching","1999-11-17 00:00","","Marine casualty","","English Channel","","0",""
"C0002558","2","ANNEGRET (IMO 9123817), COMET (IMO 9183415)","ANNEGRET (IMO 9123817): , COMET (IMO 9183415): ","Germany, Germany","General Cargo, Container","1999-11-16 00:00","","Marine casualty","","off Aarhus","","0",""
"C0002479","1","NOVOKIEVKA","NOVOKIEVKA: ","Russian Federation","Non-ship structures","1999-11-15 00:00","","Marine casualty","","Sea of Okhotsk","","0",""
"C0002481","1","VOSKHOD (IMO 6927420)","VOSKHOD (IMO 6927420): ","Russian Federation","Other Fishing","1999-11-13 00:00","","Marine casualty","","near Malyy Tyuters Island","","0",""
"C0002568","1","PUGLIOLA (IMO 9013696)","PUGLIOLA (IMO 9013696): ","Panama","Non-ship structures","1999-11-13 00:00","","Marine casualty","","Braefoot Bay, Scotland","","0",""
"C0002998","1","PETRA F. (IMO 8500408)","PETRA F. (IMO 8500408): ","Antigua and Barbuda","General Cargo","1999-11-13 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002993","1","AKADEMIR VERESCHAJW","AKADEMIR VERESCHAJW: ","Malta","Oil Tanker","1999-11-13 00:00","","Marine casualty","","North Sea","","0",""
"C0002267","1","ARVIN (IMO 8874316)","ARVIN (IMO 8874316): ","Malta","General Cargo","1999-11-12 00:00","","Marine casualty","","Port-La-Nouvelle","","1","France"
"C0002268","1","SIMBA (IMO 6813124)","SIMBA (IMO 6813124): ","Georgia","General Cargo","1999-11-12 00:00","","Marine casualty","","Port-la-Nouvelle","","0",""
"C0002269","1","DANUBE VOYAGER (IMO 7324261)","DANUBE VOYAGER (IMO 7324261): ","Ukraine","General Cargo","1999-11-12 00:00","","Marine casualty","","Leucate","","0",""
"C0002270","1","KARAER III (IMO 7364340)","KARAER III (IMO 7364340): ","Türkiye","General Cargo","1999-11-12 00:00","","Marine casualty","","Port-La-Nouvelle","","0",""
"C0003467","1","WARDEN POINT (IMO 7636822)","WARDEN POINT (IMO 7636822): ","Australia","Bulk Dry","1999-11-10 00:00","","Marine casualty","","E. of Sugarloaf Point, N. of Newcastle","","1","Australia"
"C0002538","1","ALCOR (IMO 7533159)","ALCOR (IMO 7533159): ","Malta","Bulk Dry","1999-11-09 14:44","","Marine casualty","47° 03.29' N 70° 45.09' W","Traverse du Nord, St. Lawrence River","","2","Canada; Canada"
"C0002555","1","CHIL BO SAN (IMO 6917293)","CHIL BO SAN (IMO 6917293): ","Republic of Korea","Non-ship structures","1999-11-09 00:00","","Marine casualty","","Bering Sea","","0",""
"C0002569","1","YOUNG CHEMI (IMO 8610502)","YOUNG CHEMI (IMO 8610502): ","Belize","Chemical Tanker","1999-11-09 00:00","","Very serious marine casualty","","10 miles SE of Busan","","0",""
"C0002440","1","ALICAN DEVAL (IMO 7721938)","ALICAN DEVAL (IMO 7721938): ","Türkiye","General Cargo","1999-11-09 00:00","","Very serious marine casualty","","Off Rize/Pazar","","0",""
"C0002376","2","MIKA (IMO 7113296), STEENBORG (IMO 6719885)","MIKA (IMO 7113296): , STEENBORG (IMO 6719885): ","Cyprus, Germany","General Cargo, General Cargo","1999-11-08 00:00","","Marine casualty","","Kiel Canal, Km 58","","0",""
"C0002276","1","LASSIA (IMO 7516113)","LASSIA (IMO 7516113): ","Saint Vincent and the Grenadines","Non-ship structures","1999-11-08 00:00","","Marine casualty","","Taranto","","0",""
"C0002478","1","MATTHEW (IMO 7391214)","MATTHEW (IMO 7391214): ","Bahamas","Non-ship structures","1999-11-08 00:00","","Marine incident","","off Boston","","0",""
"C0002466","1","DOLE AMERICA (IMO 9046502)","DOLE AMERICA (IMO 9046502): ","Liberia","Refrigerated Cargo","1999-11-07 00:00","","Marine casualty","","Southampton Water","","2","United Kingdom; Liberia"
"C0002380","2","SEMELE (IMO 7523221), SHIPKA (IMO 7729722)","SEMELE (IMO 7523221): , SHIPKA (IMO 7729722): ","Belize, Bulgaria","General Cargo, Bulk Dry","1999-11-07 00:00","","Very serious marine casualty","","Sea of Marmara","","0",""
"C0002974","1","UNKNOWN","UNKNOWN: ","Unknown","General Cargo","1999-11-07 00:00","","Marine casualty","","Bay of Bengal, Indian Ocean","","0",""
"C0002995","1","ARROYOFRIO DOS (IMO 8325468)","ARROYOFRIO DOS (IMO 8325468): ","Spain","Passenger/Ro-Ro Cargo","1999-11-06 00:00","","Marine casualty","","English Cannel","","0",""
"C0002353","1","GRO VIKING (IMO 8401432)","GRO VIKING (IMO 8401432): ","Norway","Non-ship structures","1999-11-05 00:00","","Marine casualty","","Troll Field","","0",""
"C0002474","1","BAJORAL (IMO 6860579)","BAJORAL (IMO 6860579): ","Lithuania","Non-ship structures","1999-11-05 00:00","","Marine casualty","","Bjornholm Island","","0",""
"C0002448","1","DOLLY (IMO 5396571)","DOLLY (IMO 5396571): ","Dominica","General Cargo","1999-11-05 00:00","","Very serious marine casualty","","North Pacific Ocean","","0",""
"C0002477","1","FIXED STAR (IMO 7705609)","FIXED STAR (IMO 7705609): ","Panama","General Cargo","1999-11-03 00:00","","Marine casualty","","entrance to Havana Port","","0",""
"C0002483","1","MIGHTY SERVANT 2 (IMO 8130887)","MIGHTY SERVANT 2 (IMO 8130887): ","Netherlands Antilles (Netherlands) [historical]","Non-ship structures","1999-11-02 00:00","","Very serious marine casualty","","off Singkep Island","","0",""
"C0002575","1","LUCIE (IMO 6812948)","LUCIE (IMO 6812948): ","Belize","General Cargo","1999-11-02 00:00","","Marine casualty","","2 nautical miles SW of Soderarm","","0",""
"C0002484","1","SUPERFAST III (IMO 9158434)","SUPERFAST III (IMO 9158434): ","Greece","Non-ship structures","1999-11-01 00:00","","Marine casualty","","15 miles West of Patras","","0",""
"C0002482","1","HOEGH DUKE (IMO 8201612)","HOEGH DUKE (IMO 8201612): ","Liberia","General Cargo","1999-10-31 00:00","","Marine casualty","","off coast of Hampton Roads","","0",""
"C0002997","1","FLAG MERSINIDI I (IMO 7389601)","FLAG MERSINIDI I (IMO 7389601): ","Panama","Bulk Dry","1999-10-31 00:00","","Marine casualty","","English Channel","","0",""
"C0002441","1","MAYAN QUEEN (IMO 1000239)","MAYAN QUEEN (IMO 1000239): ","Canada","Non-ship structures","1999-10-30 00:00","","Very serious marine casualty","","6 miles from Famagusta","","0",""
"C0002451","1","BARIS (IMO 6718611)","BARIS (IMO 6718611): ","Türkiye","General Cargo","1999-10-30 00:00","","Very serious marine casualty","","6 miles from Famagusta","","0",""
"C0002485","1","DUBAI OASIS (IMO 7038185)","DUBAI OASIS (IMO 7038185): ","Saint Vincent and the Grenadines","General Cargo","1999-10-29 00:00","","Very serious marine casualty","","Bay of Bengal","","0",""
"C0002421","1","GRADELY","GRADELY: ","Unknown","Fish Catching","1999-10-28 00:00","","Very serious marine casualty","","Off the west coast of the Island of Mull","","0",""
"C0002486","1","DUBAI TRADER (IMO 8617964)","DUBAI TRADER (IMO 8617964): ","Saint Vincent and the Grenadines","Container","1999-10-27 00:00","","Marine casualty","","10 nautical miles off Grantes Bay","","0",""
"C0002554","2","IOLCOS MARINER (IMO 7705439), PACIFIC CAREER (IMO 9040376)","IOLCOS MARINER (IMO 7705439): , PACIFIC CAREER (IMO 9040376): ","Panama, Liberia","Non-ship structures, Bulk Dry","1999-10-27 00:00","","Marine casualty","","Surat Anchorage","","0",""
"C0002973","1","UNKNOWN","UNKNOWN: ","Unknown","Fish Catching","1999-10-26 00:00","","Very serious marine casualty","","North Pacific Ocean","","0",""
"C0002487","1","MERKUR STAR (IMO 9102734)","MERKUR STAR (IMO 9102734): ","Liberia","Container","1999-10-25 00:00","","Marine casualty","","near Ponta Delgada","","0",""
"C0002488","1","TRANSMAR (IMO 9167332)","TRANSMAR (IMO 9167332): ","Portugal","General Cargo","1999-10-25 00:00","","Very serious marine casualty","","Nyckeln lightbuoy, npoorth of Kalmar","","0",""
"C0002467","1","CEMCON (IMO 7914262)","CEMCON (IMO 7914262): ","Bahamas","Other Bulk Dry","1999-10-23 00:00","","Marine casualty","","Crabbs channel","","1","Bahamas"
"C0002453","1","LUNDENES (IMO 7228429)","LUNDENES (IMO 7228429): ","Norway","General Cargo","1999-10-23 00:00","","Marine casualty","","Stravanger","","0",""
"C0004221","1","UNNAMED","UNNAMED: ","Canada","Fish Catching","1999-10-23 00:00","","Marine incident","","Off Hnausa harbour, Manitoba","","1","Unknown"
"C0002244","1","SEA BOYNE (IMO 7530834)","SEA BOYNE (IMO 7530834): ","Ireland","General Cargo","1999-10-22 00:00","","Marine casualty","","English Channel","","0",""
"C0002444","1","BORAK (IMO 6405836)","BORAK (IMO 6405836): ","Croatia","General Cargo","1999-10-21 00:00","","Very serious marine casualty","","S.W. of Zlarin Island","","0",""
"C0002320","1","HENRY NAVIGATOR (IMO 7824106)","HENRY NAVIGATOR (IMO 7824106): ","Cyprus","General Cargo","1999-10-20 00:00","","Very serious marine casualty","","Near Cape Town Harbour","","0",""
"C0002492","1","RYANT","RYANT: ","United States","Non-ship structures","1999-10-20 00:00","","Marine casualty","","Sable Island","","0",""
"C0003001","1","CHALLENGER","CHALLENGER: ","United Kingdom","Fish Catching","1999-10-20 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0003002","1","DAIAN MARU (IMO 9109471)","DAIAN MARU (IMO 9109471): ","Japan","Towing / Pushing","1999-10-19 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002489","1","COURAGE (IMO 7507631)","COURAGE (IMO 7507631): ","Saint Vincent and the Grenadines","General Cargo","1999-10-19 00:00","","Very serious marine casualty","","entrance to Aveiro Harbour","","0",""
"C0002490","1","GALAPAGOS DISCOVERY (IMO 5159002)","GALAPAGOS DISCOVERY (IMO 5159002): ","Ecuador","Passenger","1999-10-19 00:00","","Very serious marine casualty","","Rodman Pier","","0",""
"C0002491","1","RAYMAC (IMO 7624415)","RAYMAC (IMO 7624415): ","Panama","General Cargo","1999-10-19 00:00","","Marine casualty","","near Skrofka","","0",""
"C0002526","2","GRACEOUS (IMO 9169378), LULA I (IMO 7365538)","GRACEOUS (IMO 9169378): , LULA I (IMO 7365538): ","Panama, Liberia","Bulk Dry, Non-ship structures","1999-10-19 00:00","","Marine casualty","","Singapore Strait 2 miles SE of Sebarok Beacon","","0",""
"C0002443","1","BIMAS RAYA II (IMO 8856651)","BIMAS RAYA II (IMO 8856651): ","Indonesia","General Cargo","1999-10-18 00:00","","Very serious marine casualty","","Off Merauke District, Irian Jaya","","0",""
"C0002525","1","WILD LILY (IMO 7709710)","WILD LILY (IMO 7709710): ","Panama","Non-ship structures","1999-10-16 00:00","","Marine casualty","","River Tyne, Tyne Tanker Terminal","","0",""
"C0002318","1","ECOWAS TRADER II (IMO 7600811)","ECOWAS TRADER II (IMO 7600811): ","Nigeria","General Cargo","1999-10-15 00:00","","Very serious marine casualty","","100 miles off Guinea Bissau","","0",""
