Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0002777","1","SEKAVIN 3 (IMO 5117286)","SEKAVIN 3 (IMO 5117286): ","Panama","Towing / Pushing","1998-09-09 00:00","","Very serious marine casualty","","48 miles N of Fujairah, 5 miles off coast of Oman","","0",""
"C0002375","1","TRIJNIE","TRIJNIE: ","Unknown","Towing / Pushing","1998-09-08 00:00","","Very serious marine casualty","","in the approach channel to Milford Docks","","0",""
"C0002208","2","ARNARFELL (IMO 9065297), INGA (IMO 8820913)","ARNARFELL (IMO 9065297): , INGA (IMO 8820913): ","Denmark, Liberia","Container, Oil Tanker","1998-09-08 00:00","","Marine casualty","","Rotterdam","","0",""
"C0003029","1","ENSCO KODIAK II (IMO 8216382)","ENSCO KODIAK II (IMO 8216382): ","United States","Towing / Pushing","1998-09-07 00:00","","Marine casualty","","Gulf of Mexico","","0",""
"C0003030","1","SKARVOY (IMO 6611655)","SKARVOY (IMO 6611655): ","Belize","Fish Catching","1998-09-06 00:00","","Very serious marine casualty","","North Atlantic Ocean","","0",""
"C0002213","1","CANADIAN TRANSFER (IMO 6514869)","CANADIAN TRANSFER (IMO 6514869): ","Canada","Bulk Dry","1998-09-05 00:00","","Marine casualty","","Saginow River, Lake Huron","","0",""
"C0002214","2","DAIJU MARU NO.8 (IMO 0      ), KOEI MARU NO.18 (IMO 0      )","DAIJU MARU NO.8 (IMO 0      ): , KOEI MARU NO.18 (IMO 0      ): ","Japan, Japan","Oil Tanker, Fish Catching","1998-09-04 00:00","","Marine casualty","","Esashi Port, Hokkaido","","0",""
"C0003169","2","INCAT 046 (IMO 9172076), LADY MEGAN II","INCAT 046 (IMO 9172076): , LADY MEGAN II: ","Bahamas, Canada","Passenger/Ro-Ro Cargo, Fish Catching","1998-09-04 00:00","","Very serious marine casualty","","Yarmouth Harbour, Nova Scotia","","1","Unknown"
"C0002215","1","ELINKA (IMO 7329027)","ELINKA (IMO 7329027): ","Panama","General Cargo","1998-09-03 00:00","","Marine casualty","","72 m. SE. of Comodoro Rivadavia","","0",""
"C0002209","1","BAHAMAS (IMO 7028362)","BAHAMAS (IMO 7028362): ","Malta","Oil Tanker","1998-09-01 00:00","","Very serious marine casualty","","Rio Grande","","0",""
"C0002010","1","FIGHTER I (IMO 6704763)","FIGHTER I (IMO 6704763): ","Belize","General Cargo","1998-09-01 00:00","","Marine casualty","","N.W. of Paphos","","0",""
"C0002028","1","CAPITANO GIOVANNI (IMO 9083524)","CAPITANO GIOVANNI (IMO 9083524): ","Italy","Bulk Dry","1998-08-31 00:00","","Marine casualty","","","","0",""
"C0003115","1","POLARTANK (IMO 6903010)","POLARTANK (IMO 6903010): ","Bahamas","Chemical Tanker","1998-08-29 00:00","","Marine casualty","","Archipelagos","Archipelagos","0",""
"C0003032","2","AWAKIN, SEAFLIGHT I","AWAKIN: , SEAFLIGHT I: ","United States, Canada","Non-ship structures, Non-ship structures","1998-08-29 00:00","","Very serious marine casualty","","Youngstown Yatch Club, lower Niagara River","","1","Canada"
"C0003031","1","CHEM TRADER (IMO 7620811)","CHEM TRADER (IMO 7620811): ","Panama","Chemical Tanker","1998-08-28 00:00","","Marine casualty","","Quelimane","","0",""
"C0002200","1","LADY MARIA T (IMO 7411583)","LADY MARIA T (IMO 7411583): ","Cyprus","General Cargo","1998-08-28 00:00","","Marine casualty","","Between Poros and Methan","","0",""
"C0003033","1","SPRING GLORY (IMO 9034212)","SPRING GLORY (IMO 9034212): ","Singapore","Chemical Tanker","1998-08-27 00:00","","Marine casualty","","At Bandar-e Ma'shur","","0",""
"C0002069","1","SEA PROSPECT (IMO 9136709)","SEA PROSPECT (IMO 9136709): ","Panama","Bulk Dry","1998-08-26 00:00","","Very serious marine casualty","","Off Okinawa","","0",""
"C0002123","1","VEESEA STROM (IMO 7390686)","VEESEA STROM (IMO 7390686): ","Unknown","","1998-08-25 00:00","","Marine casualty","","NE. of Peterhead","","0",""
"C0007238","1","FITZROY RIVER (IMO 8019019)","FITZROY RIVER (IMO 8019019): ","Australia","","1998-08-24 18:35","","Marine casualty","","At the port of Weipa","","1","Australia"
"C0002220","1","LINDA KOSAN (IMO 9034511)","LINDA KOSAN (IMO 9034511): ","Denmark","Oil Tanker","1998-08-24 00:00","","Marine casualty","","English Channel ","","0",""
"C0002202","2","ANGELIC SPIRIT (IMO 8109175), OBO VENTURE (IMO 8116934)","ANGELIC SPIRIT (IMO 8109175): , OBO VENTURE (IMO 8116934): ","Greece, Liberia","Bulk Dry, Non-ship structures","1998-08-19 00:00","","Marine casualty","","Gulf of Mexico","","0",""
"C0002681","1","PULAU BATAM (IMO 7731086)","PULAU BATAM (IMO 7731086): ","Indonesia","General Cargo","1998-08-17 00:00","","Very serious marine casualty","","","","0",""
"C0002204","1","REID'S CARIBE (IMO 6511697)","REID'S CARIBE (IMO 6511697): ","Belize","General Cargo","1998-08-16 00:00","","Marine casualty","","Santo Domingo","","0",""
"C0001989","1","MELANIE M (IMO 6610508)","MELANIE M (IMO 6610508): ","Cambodia","General Cargo","1998-08-09 00:00","","Very serious marine casualty","","Red Sea","","0",""
"C0002203","1","OCEAN GURNARD (IMO 9123881)","OCEAN GURNARD (IMO 9123881): ","Singapore","Oil Tanker","1998-08-07 00:00","","Marine casualty","","Singapore","","0",""
"C0001994","1","PERSEUS (IMO 7703742)","PERSEUS (IMO 7703742): ","Malta","General Cargo","1998-08-04 00:00","","Very serious marine casualty","","Gulf of Aden","","0",""
"C0002006","1","DENISSE MARIE (IMO 7022538)","DENISSE MARIE (IMO 7022538): ","Venezuela (Bolivarian Republic of)","General Cargo","1998-08-04 00:00","","Very serious marine casualty","","Puerto Esconido Bay","","0",""
"C0002070","1","SEA DREAM (IMO 7375466)","SEA DREAM (IMO 7375466): ","Greece","Bulk Dry","1998-08-03 00:00","","Marine casualty","","200 m. off Dakar","","0",""
"C0002063","1","ASEAN CARRIER (IMO 6922511)","ASEAN CARRIER (IMO 6922511): ","Panama","Bulk Dry","1998-08-02 00:00","","Very serious marine casualty","","Arabian Sea","","0",""
"C0002201","1","MOOR LAKER (IMO 8312162)","MOOR LAKER (IMO 8312162): ","Philippines","Bulk Dry","1998-08-02 00:00","","Marine casualty","","North Pacific Ocean","","0",""
"C0002193","1","HISTRIA MOON (IMO 7372672)","HISTRIA MOON (IMO 7372672): ","Malta","Oil Tanker","1998-08-02 00:00","","Very serious marine casualty","","Constanza","","0",""
"C0003646","1","FEDERAL FRASER (IMO 8119261)","FEDERAL FRASER (IMO 8119261): ","Panama","Bulk Dry","1998-08-02 00:00","","Marine incident","","0.15 nm from the mole of Murphy warf, Lévis, Québe","","1","Canada"
"C0003425","1","CONSTANCE (IMO 8411657)","CONSTANCE (IMO 8411657): ","Netherlands (Kingdom of)","General Cargo","1998-07-27 00:00","","Very serious marine casualty","","Caribbean sea","","0",""
"C0002294","1","MONTE D'ORO (IMO 8911516)","MONTE D'ORO (IMO 8911516): ","France","Passenger","1998-07-27 00:00","","Marine casualty","","","","0",""
"C0002073","2","ELISABETH RICKMERS (IMO 9082790), SMYRNI (IMO 7632527)","ELISABETH RICKMERS (IMO 9082790): , SMYRNI (IMO 7632527): ","Antigua and Barbuda, Cyprus","Container, Bulk Dry","1998-07-26 00:00","","Very serious marine casualty","","Santos","","1","Antigua and Barbuda"
"C0002303","1","EURASIAN DREAM (IMO 8318910)","EURASIAN DREAM (IMO 8318910): ","Philippines","Non-ship structures","1998-07-23 00:00","","Marine casualty","","Sharjah","","0",""
"C0002292","1","AURORA AUSTRALIS (IMO 8717283)","AURORA AUSTRALIS (IMO 8717283): ","Australia","Research","1998-07-22 00:00","","Marine casualty","","","","1","Australia"
"C0002197","2","BORVIGILANT (IMO 7523207), ROMINA G (IMO 7402556)","BORVIGILANT (IMO 7523207): , ROMINA G (IMO 7402556): ","United Arab Emirates, Malta","Towing / Pushing, Oil Tanker","1998-07-22 00:00","","Very serious marine casualty","","Off Kharg Isl.","","1","United Arab Emirates"
"C0002068","1","OSOOL (IMO 7372153)","OSOOL (IMO 7372153): ","Belize","Bulk Dry","1998-07-21 00:00","","Very serious marine casualty","","S.W. of Mumbai","","0",""
"C0002293","1","ECSTASY (IMO 8711344)","ECSTASY (IMO 8711344): ","Liberia","Passenger","1998-07-20 17:10","","Marine casualty","","Off the Miami coast","","1","Unknown"
"C0004282","1","PARIS (IMO 7931698)","PARIS (IMO 7931698): ","Cyprus","General Cargo","1998-07-20 00:00","","Marine casualty","","","","0",""
"C0002302","1","AL JAZYA V (IMO 7044366)","AL JAZYA V (IMO 7044366): ","Belize","Oil Tanker","1998-07-18 00:00","","Marine casualty","","Berbera","","0",""
"C0002306","1","TRINITY (IMO 6618213)","TRINITY (IMO 6618213): ","United States","Oil Tanker","1998-07-18 00:00","","Marine casualty","","North Atlantic Ocean","","0",""
"C0002305","1","NORDERSAND (IMO 7523996)","NORDERSAND (IMO 7523996): ","Sweden","General Cargo","1998-07-15 00:00","","Marine casualty","","Off Stevns","","0",""
"C0002081","1","RAUTZ (IMO 7391953)","RAUTZ (IMO 7391953): ","Austria","General Cargo","1998-07-13 00:00","","Very serious marine casualty","","120 m. S. of Cabo de Sao Vicente","","0",""
"C0002194","1","TRADEWIND ISLAND (IMO 7414755)","TRADEWIND ISLAND (IMO 7414755): ","Panama","Oil Tanker","1998-07-09 00:00","","Marine casualty","","Off Abidjan","","0",""
"C0001999","2","ISOPRENE MARU NO.2 (IMO 0      ), SHINSEI MARU NO.8 (IMO 0      )","ISOPRENE MARU NO.2 (IMO 0      ): , SHINSEI MARU NO.8 (IMO 0      ): ","Unknown, Japan","Oil Tanker, General Cargo","1998-07-08 00:00","","Marine casualty","","2.5 m. off Noshimasaki Lighthouse, Japan","","0",""
"C0002301","1","TIGER FORCE (IMO 8912780)","TIGER FORCE (IMO 8912780): ","Malta","General Cargo","1998-07-07 00:00","","Very serious marine casualty","","65 m. off Colombo","","0",""
"C0002015","1","MENG KIAT (IMO 7712133)","MENG KIAT (IMO 7712133): ","Singapore","General Cargo","1998-07-03 00:00","","Marine casualty","","Off Vasai","","0",""
"C0002304","1","MIR (IMO 5426443)","MIR (IMO 5426443): ","Saint Vincent and the Grenadines","Passenger","1998-07-02 00:00","","Marine casualty","","Ionian Sea","","0",""
"C0002086","1","WOOYANG HONEY (IMO 8105442)","WOOYANG HONEY (IMO 8105442): ","Republic of Korea","General Cargo","1998-06-29 00:00","","Very serious marine casualty","","3.5 miles E. of Shibeishan Jiao","","1","Republic of Korea"
"C0002087","1","WORLD PEACE (IMO 7716658)","WORLD PEACE (IMO 7716658): ","Cyprus","General Cargo","1998-06-28 00:00","","Very serious marine casualty","","Arabian Sea","","0",""
"C0004274","1","DIANA-MARIA (IMO 8901042)","DIANA-MARIA (IMO 8901042): ","Antigua and Barbuda","General Cargo","1998-06-27 00:00","","Marine casualty","","Ensenada de Dexo, Ares Bay","","0",""
"C0002098","1","BAHANA NUSANTARA (IMO 8864153)","BAHANA NUSANTARA (IMO 8864153): ","Indonesia","General Cargo","1998-06-25 00:00","","Very serious marine casualty","","Alas Strait, Sumbawa","","0",""
"C0004285","1","GIRNAR (IMO 7902506)","GIRNAR (IMO 7902506): ","India","Towing / Pushing","1998-06-24 00:00","","Very serious marine casualty","","Sara Creek","","0",""
"C0004275","1","JOEY (IMO 7236907)","JOEY (IMO 7236907): ","Bahamas","Oil Tanker","1998-06-23 00:00","","Marine casualty","","","","0",""
"C0002584","2","MSC KATIE (IMO 7434444), P&O NEDLLOYD SYDNEY (IMO 9168180)","MSC KATIE (IMO 7434444): , P&O NEDLLOYD SYDNEY (IMO 9168180): ","Panama, Netherlands (Kingdom of)","Container, Container","1998-06-18 00:00","","Marine casualty","","Swamspm Dock, Melbourne","","1","Australia"
"C0003114","1","MOUNTAIN BLOSSOM (IMO 8412962)","MOUNTAIN BLOSSOM (IMO 8412962): ","Bahamas","Chemical Tanker","1998-06-17 00:00","","Marine casualty","","Eisenhower Lock, St Lawrence Seaway","","0",""
"C0004268","2","BUNGA TANJUNG (IMO 8618889), WIE FONE NO.1 (IMO 0      )","BUNGA TANJUNG (IMO 8618889): , WIE FONE NO.1 (IMO 0      ): ","Malaysia, China","Chemical Tanker, General Cargo","1998-06-16 00:00","","Marine casualty","","Keelung","","0",""
"C0004269","1","APTMARINER (IMO 7702085)","APTMARINER (IMO 7702085): ","Liberia","Bulk Dry","1998-06-16 00:00","","Marine casualty","","St. Lawrence Seaway","","0",""
"C0002074","1","PEARL OF DAMMAN (IMO 0      )","PEARL OF DAMMAN (IMO 0      ): ","Saint Vincent and the Grenadines","Bulk Dry","1998-06-15 00:00","","Marine casualty","","Kandla","","0",""
"C0002008","1","VELENJE (IMO 7507215)","VELENJE (IMO 7507215): ","Saint Vincent and the Grenadines","General Cargo","1998-06-15 00:00","","Marine casualty","","Kandla","","0",""
"C0001996","1","HUALIEN EXPRESS (IMO 7047423)","HUALIEN EXPRESS (IMO 7047423): ","Saint Vincent and the Grenadines","General Cargo","1998-06-15 00:00","","Marine casualty","","kandla","","0",""
"C0002281","2","MERKUR (IMO 9015981), SILVERY SEA (IMO 7514165)","MERKUR (IMO 9015981): , SILVERY SEA (IMO 7514165): ","Germany, United Kingdom","General Cargo, Fish Catching","1998-06-14 00:00","","Marine casualty","","30 m. W. of Esbjerg","","0",""
"C0002094","1","ALIMAD (IMO 6404064)","ALIMAD (IMO 6404064): ","Syrian Arab Republic","General Cargo","1998-06-13 00:00","","Very serious marine casualty","","Mukalla anchorage","","0",""
"C0004276","2","KUO HSIN (IMO 8909094), SEA RANGER (IMO 7352397)","KUO HSIN (IMO 8909094): , SEA RANGER (IMO 7352397): ","Panama, Myanmar","Container, Container","1998-06-13 00:00","","Marine casualty","","Off Tanegashima","","0",""
"C0007229","1","LEONARDO DA VINCI (IMO 8411592)","LEONARDO DA VINCI (IMO 8411592): ","Netherlands (Kingdom of)","","1998-06-11 17:50","","Marine casualty","","Off the port of Dampier, West Australia","","1","Unknown"
"C0003168","1","GRANT CARRIER (IMO 8203476)","GRANT CARRIER (IMO 8203476): ","Malta","Bulk Dry","1998-06-11 00:00","","Marine casualty","","St. Lawrence Seaway, Quebec","","1","Unknown"
"C0002019","1","INDIAN COURIER (IMO 7512985)","INDIAN COURIER (IMO 7512985): ","India","Container","1998-06-11 00:00","","Very serious marine casualty","","Off Pipavav","","0",""
"C0003116","1","SAUTE MOUTONS 6","SAUTE MOUTONS 6: ","Canada","Passenger","1998-06-10 00:00","","Marine casualty","","Niagara River Gorge","","1","Canada"
