summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
14399125,626300,1984-07-10 00:00:00,,Employee killed when struck by flying metal plate,"COMPRESSOR,REPAIR,UNSECURED,FOREHEAD,OIL WELL DRILLING,HIGH PRESSURE,STRUCK BY,FLYING OBJECT,PRESSURE RELEASE",,,,,,1311,X,,,2019-07-22 00:18:28 EDT
14399174,626300,1984-09-14 00:00:00,,EMPLOYEE SUFFERED A HEART ATTACK WHILE WORKING ON A TRUCK,"WHEEL,HEART ATTACK,WELDER,WELDING,TRUCK",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14399240,626300,1985-02-28 00:00:00,,ELECTRIC SHOCK - GROUND FAULT IN UTILIZATION EQUIPMENT,"ELECTRICAL,ELECTROCUTED,ELECTRICAL WORK,GROUND FAULT,EQUIPMENT GROUNDING",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14399406,626300,1985-03-14 00:00:00,,"TRENCH DIGGING MACHINE FELL OFF BLOCKS, CRUSHING EMPLOYEE","CHOCK,BLOCKS,CRUSHED,FALLING OBJECT,UNSTABLE POSITION",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14399612,626300,1986-06-18 00:00:00,,EMPLOYEE INHALED TOXIC VAPORS IN A FRAC TANK,"OXYGEN DEFICIENCY,RESPIRATORY,CONFINED SPACE,WORK RULES,FRAC TANK,TOXIC ATMOSPHERE,INHALATION",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14399778,626300,1984-10-15 00:00:00,,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BULLDOZER,"OVERHEAD POWER LINE,ELECTRICAL,ELECTROCUTED,E C,BULLDOZER",,,,,,1382,X,,,2019-07-22 00:18:28 EDT
14399869,626300,1985-05-03 00:00:00,,Employee Fell from Mud Tank and Struck Head on Plank,"HEAD,RIGGING,OIL WELL DRILLING,FALL,FIGHTING,LOST BALANCE,OIL RIG",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14399950,626300,1985-05-15 00:00:00,,STRUCK BY REBOUNDING DRILL PIPE,"CHAIN,HEAD,UNSECURED,DRILL PIPE,OIL WELL DRILLING,CRUSHED,STRUCK BY,FALLING OBJECT",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14400154,626300,1985-07-28 00:00:00,,"WET FLOOR CAUSED EMPLOYEE TO SLIP AND FALL, STRIKING HEAD","HEAD,SLIP,FALL,SLIPPERY SURFACE",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14400170,626300,1985-09-16 00:00:00,,STRUCK IN HEAD BY HOIST BLOCKS ON WELL SERVICING RIG,"HEAD,BLOCKS,WORK RULES,OIL WELL SERVICING,STRUCK BY,OIL RIG,INATTENTION",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14400287,626300,1985-08-27 00:00:00,,ELECTRIC SHOCK - CONTACT WITH ENERGIZED PARTS,"ELECTRIC MOTOR,E GI IV,ELECTRICAL,ELECTROCUTED,MECHANIC,ELECTRICAL WORK,LOCKOUT",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14400717,626300,1985-04-22 00:00:00,,EMPLOYEES BURNED IN REFINERY FIRE,"FLAMMABLE VAPORS,VALVE,BURN,MAINTENANCE,FLAMMABLE LIQUID,FIRE,GAS LEAK,REFINERY",,,,,,"1381,2911",X,,,2019-07-22 00:18:28 EDT
14401103,626300,1987-06-02 00:00:00,,Employee killed in fall from derrick,"DERRICK,DISMANTLING,UNSECURED,WORK RULES,FALL,FALL PROTECTION,OIL WELL SERVICING,UNSTABLE POSITION",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14401327,626300,1988-10-06 00:00:00,,"One killed, one injured in oil well fire","KICK BACK,FLAMMABLE LIQUID,FLAMMABLE VAPORS,WORK RULES,FIRE,OIL WELL DRILLING,GAS,CHEMICAL VAPOR,ACCIDENTAL DISCHARGE",,,,,,1311,X,,,2019-07-22 00:18:28 EDT
