﻿OccNo,OccID,VesselID,VesselName,XrfOccVesselVictimCountID,ManuallyEnteredStatsIND,VictimMissing,VictimMinorInjuries,VictimSeriousInjuries,VictimDeath,TotalVesselInjuries,TotalPeopleInWater,PeopleInWaterWearingLSE,PeopleInWaterLseTypeID,PeopleInWaterLseTypeDisplayEng,PeopleInWaterLseTypeDisplayFre,PeopleInWaterNoLSE,PeopleInWaterDontKnowLSE
"M24A0105",51999,,"ASHORE/RIVAGE",19770,0,0,0,0,0,0,0,0,,,,0,0
"M24P0092",51998,25397,"BAYNES SOUND CONNECTOR",19773,0,0,0,0,0,0,0,0,,,,0,0
"M24P0092",51998,,"ASHORE/RIVAGE",19772,0,0,0,0,0,0,0,0,,,,0,0
"M24C0062",51997,20776,"HOWE ISLANDER",19775,0,0,0,0,0,0,0,0,,,,0,0
"M24C0062",51997,,"ASHORE/RIVAGE",19774,0,0,0,0,0,0,0,0,,,,0,0
"M24A0104",51996,24688,"LA MARACHE",19760,0,0,0,0,0,0,0,0,,,,0,0
"M24A0104",51996,,"ASHORE/RIVAGE",19759,0,0,0,0,0,0,0,0,,,,0,0
"M24A0103",51995,23621,"PROSPECTOR I",19762,0,0,0,0,0,0,0,0,,,,0,0
"M24A0103",51995,,"ASHORE/RIVAGE",19761,0,0,0,0,0,0,0,0,,,,0,0
"M24P0091",51994,8422,"JACK POINT",19756,0,0,0,0,0,0,0,0,,,,0,0
"M24P0091",51994,,"ASHORE/RIVAGE",19755,0,0,0,0,0,0,0,0,,,,0,0
"M24A0102",51993,27849,"PAMELA & BROTHERS II",19758,0,0,0,0,0,0,0,0,,,,0,0
"M24A0102",51993,,"ASHORE/RIVAGE",19757,0,0,0,0,0,0,0,0,,,,0,0
"M24A0101",51992,30785,"LADY ETTA",19753,0,0,0,0,0,0,0,0,,,,0,0
"M24A0101",51992,,"ASHORE/RIVAGE",19752,0,0,0,0,0,0,0,0,,,,0,0
"M24P0090",51991,9562,"DUTCHMAN NO. 1",19742,0,0,0,0,0,0,0,0,,,,0,0
"M24P0090",51991,,"ASHORE/RIVAGE",19741,0,0,0,0,0,0,0,0,,,,0,0
"M24P0089",51990,30781,"C35148BC (BEETHOVEN)",19747,0,0,0,0,0,0,0,0,,,,0,0
"M24P0089",51990,,"ASHORE/RIVAGE",19746,0,0,0,0,0,0,0,0,,,,0,0
"M24P0088",51989,16058,"ROSILEE I",19749,1,0,1,0,0,1,0,0,,,,0,0
"M24P0088",51989,,"ASHORE/RIVAGE",19748,0,0,0,0,0,0,0,0,,,,0,0
"M24C0061",51988,29673,"CAPTAIN HENRY JACKMAN",20370,0,0,0,0,0,0,0,0,,,,0,0
"M24C0061",51988,,"ASHORE/RIVAGE",20369,0,0,0,0,0,0,0,0,,,,0,0
"M24C0060",51987,,"ASHORE/RIVAGE",19754,0,0,0,0,0,0,0,0,,,,0,0
"M24C0059",51986,30778,"SKY DWELLER II",19724,0,0,0,1,0,1,0,0,,,,0,0
