DOC_ID,REGION,DOC_IMPORTED_DATE,DOC_PAGES,DOC_FILESIZE,LEASE_NUMBER,AREA_BLOCK,DOC_TYPE
475,Gulf of Mexico,2/22/2001,3,72708,G14937      ,GB 0085     ,PLAN OF EXPLORATION      
476,Gulf of Mexico,2/22/2001,1,18158,G16341      ,EI 0037     ,CORRESPONDENCE           
477,Gulf of Mexico,2/22/2001,1,18002,G16356      ,EI 0177     ,CORRESPONDENCE           
478,Gulf of Mexico,2/22/2001,5,185368,G12859      ,VR 0025     ,CORRESPONDENCE           
479,Gulf of Mexico,2/22/2001,54,2205981,0187        ,EC 0083     ,CORRESPONDENCE           
480,Gulf of Mexico,2/22/2001,19,1164529,0187        ,EC 0083     ,WELL 001                 
481,Gulf of Mexico,2/22/2001,24,1219806,0187        ,EC 0083     ,WELL D001                
482,Gulf of Mexico,2/22/2001,34,1706290,0187        ,EC 0083     ,WELL H001                
483,Gulf of Mexico,2/22/2001,27,1312633,0187        ,EC 0083     ,WELL H002                
484,Gulf of Mexico,2/22/2001,27,1356074,0187        ,EC 0083     ,WELL H003                
485,Gulf of Mexico,2/22/2001,27,1252129,0187        ,EC 0083     ,WELL H005                
486,Gulf of Mexico,2/22/2001,34,1782483,0187        ,EC 0083     ,WELL H006                
487,Gulf of Mexico,2/22/2001,24,1270573,0187        ,EC 0083     ,WELL H007                
488,Gulf of Mexico,2/22/2001,38,1458555,G02266      ,EC 0370     ,CORRESPONDENCE           
489,Gulf of Mexico,2/22/2001,63,2228720,G02266      ,EC 0370     ,PLAN OF EXPLORATION      
