PRODUCTION_DATE,PLAN_AREA,CRUDE_OIL,CONDENSATE,TOTAL_OIL,NATURAL_GAS,CASINGHEAD_GAS,TOTAL_GAS
10/31/1985,Central Gulf of Mexico,24894477,1913151,26807628,189750362,41384384,231134746
1/31/1986,Central Gulf of Mexico,27155356,2688745,29844101,268106764,45418259,313525023
4/30/1994,Central Gulf of Mexico,19991905,3636175,23628080,264851639,44167697,309019336
12/31/1985,Central Gulf of Mexico,27146286,2584439,29730725,271033618,45693591,316727209
6/30/1955,Central Gulf of Mexico,246894,66676,313570,6788614,212189,7000803
10/31/1955,Central Gulf of Mexico,307462,80123,387585,8100147,243921,8344068
2/29/1956,Central Gulf of Mexico,348665,75514,424179,7252911,277099,7530010
9/30/1956,Central Gulf of Mexico,425185,57174,482359,6922232,393246,7315478
10/31/1956,Central Gulf of Mexico,581871,59569,641440,7362218,481868,7844086
1/31/1957,Central Gulf of Mexico,819869,56462,876331,7579141,717465,8296606
9/30/1957,Central Gulf of Mexico,910448,49900,960348,6659396,787061,7446457
11/30/1958,Central Gulf of Mexico,1836476,129170,1965646,13317231,1702385,15019616
1/31/1996,Central Gulf of Mexico,24188457,4731585,28920042,276400702,51210535,327611237
4/30/1996,Central Gulf of Mexico,22465002,4871947,27336949,275504093,46661788,322165881
6/30/1950,Central Gulf of Mexico,18238,0,18238,0,914,914
8/31/1950,Central Gulf of Mexico,16194,0,16194,0,729,729
11/30/1950,Central Gulf of Mexico,15982,131,16113,0,717,717
12/31/1950,Central Gulf of Mexico,15753,0,15753,0,651,651
10/31/1952,Central Gulf of Mexico,52727,57360,110087,1887648,51243,1938891
11/30/1954,Central Gulf of Mexico,139138,64478,203616,6276654,142342,6418996
2/28/1955,Central Gulf of Mexico,149407,66325,215732,6663903,151022,6814925
4/30/1955,Western Gulf of Mexico,477,0,477,0,0,0
9/30/1955,Western Gulf of Mexico,468,0,468,0,806,806
1/31/1957,Western Gulf of Mexico,1229,0,1229,0,1388,1388
7/31/1965,Western Gulf of Mexico,586,0,586,0,138,138
8/31/1967,Western Gulf of Mexico,164762,128782,293544,9260057,413995,9674052
12/31/1967,Western Gulf of Mexico,132335,141339,273674,10118886,537851,10656737
