Field,First Oil,Months,Oil (MMBO),Gas (BCF),BOE (MMBOE),Revenue ($MM),Royalty ($MM),Opex ($MM),Op Cash Flow ($MM),CAPEX ($MM),NPV Operations ($MM),NPV Project ($MM),PI
Jack/St. Malo,2014-02,131,392.079183,0.093852828,407.721321,29734.423623,5575.2044293125,6115.819815,14254.285509163125,7500.0,8248.180046814878,748.1800468148776,0.09975733957531702
Stones,2016-09,100,81.375764,0.012333608,83.43136533333333,6146.349928,1152.4406115,1251.47048,2956.526680835,3800.0,1989.5699177392166,-1810.4300822607834,-0.47642896901599563
Cascade/Chinook,2021-08,41,10.068779,0.001612461,10.3375225,760.8020385,142.65038221875,186.075405,341.34023851218757,2900.0,295.88889233494035,-2604.1111076650595,-0.8979693474707102
Julia,2019-05,68,50.767474,0.005252946,51.642965,3825.945861,717.3648489375,929.57337,1721.4160372293752,4700.0,1336.9642796493793,-3363.035720350621,-0.7155395149682172
Anchor,2024-08,5,1.935759,0.000401798,2.0027253333333332,146.588218,27.485290875,30.04088,70.35901722874999,5600.0,68.90671509114348,-5531.093284908857,-0.9876952294480101
