source_project_key,locator_json,locator_sha256,source_row_sha256,active
src-prj-cf51a4592b214589835f33f0bdfb0d21,"{""PROJECT"":""GranMorgu (Block 58)""}",d102d3310494a001f75bdf09646c070925ee5d8cf8a9bab86e2c021f422ce53f,107145f810417642c65a2799654bbe189e7e3fe5e5fbd0e7562afae8557e7034,true
src-prj-b20ae8bfaf0c4f4bb64713eef4c2d9b4,"{""PROJECT"":""Greater Enfield""}",6af0677633d9957bc344b183fbab0dc3349a2364de607e4957d3e7f779687fc6,ce9d097321fcb2b62e6ca7c23c1bb95dca9a5ee56f8e57ce3ff6ded253beecda,true
src-prj-3e46e0a30cf140a8a5125c76de0fa438,"{""PROJECT"":""Greater PAJ""}",14c5ca5aa9450d3c91eefa3b29def8748bd9ac3d0d3855a21f86550a1fa82d76,d8e859141df8aac4825b58a850b5d7b1fed5558aeca4382d29346903c0e043b5,true
src-prj-4bf35857f495436b981e2b834460b98d,"{""PROJECT"":""Greater Tortue Ahmeyim (GTA) Ph1""}",a1d32a0456b33b08205f39a48c31daa35a2ff4509c3e83d6ba14d8d313abd060,8da73781d52a55f82e001bd0fb231e23b5099d2c7cc4c26483f17be793d4950d,true
src-prj-6ae69a05bb984333abe756712d01383c,"{""PROJECT"":""Hammerhead""}",644b22a40c0b898292330e59121f97a2b4acfa2c82dc534a59aa420be809d414,e5f19ffb66c64e966c5c76d4fd662e0d2407bce882a7b4f3fa0db33dd331b146,true
src-prj-85a499b8d8ac49e19e5fbbcd9d5a68b5,"{""PROJECT"":""Ichthys LNG""}",d4b1593c08969cf022ef4a22c75aa63384ae66f1653cb695b28c053fe33328e0,4722efffddb722ebaf900bbd233daa206533085bf43f5ac0d1ef57d7ec8e5f62,true
src-prj-68ae258b64ca4d828b273b9487b2c31e,"{""PROJECT"":""Jack/St. Malo (initial phase)""}",4ac093d14faf9f4468aebc1ce98235c538b965a85d431c94d61b5e03b7ad4cbf,5eca1909e4749ad6fdb83d733d1fd0af2ac71e08b05c03259240f41a7bbd6a0d,true
src-prj-2e39593da9a240958e5bcceb7d012366,"{""PROJECT"":""Johan Castberg""}",26e8bf5e1055bdb53186c206f3885d1ee2c0f9bed3c8e59499567744f6390990,c14d01c583131410c85416781d6712c49c0e4197e05169acd29308230160de68,true
src-prj-d2d95db84ddb4ad58eb413c586dcf1ff,"{""PROJECT"":""Johan Sverdrup Phase 2""}",6ca3ffbb8ae3f3a7f6d15b00268f6807455d48add893465e71fa729f8f690b44,711986ee4f056ba3037cc1ec59ae1b5e375de450b58b4b4e2b2058d9040b1fb9,true
src-prj-955e2a7f9b9d40ea85c275a2fbfaf796,"{""PROJECT"":""Jubilee Phase 1""}",dbe490601a44b5bb4e68ef1e113cf4aec605f788c008ca69a008a99d2c05a9af,cbf7f5c4db974d0a31d13ddc487b3450b022770ffcfa9b9a17b766b0828c6ac5,true
src-prj-f20194bc04134038afdb50aec35c6f89,"{""PROJECT"":""Julia (initial phase)""}",e5dea33025c03e540c178896e93e3d873ec93b21198eda1631cdc521a28b0cd4,a6beb75d4b85b9a3958b2364fc3cd3d523916dea1b76f7c8205140a7a16ce93c,true
src-prj-71b026b067194fae9856dda60872548e,"{""PROJECT"":""KG-D6 integrated (R-Cluster + Satellites + MJ)""}",88f371d9020e3a77973b7f02807d6d28d40b7b7f8ae324c99040cef24d88d7e4,0acf25188ca16162cad5edc1df69a603ed28216004aed92924a1992d87120a35,true
src-prj-a4092ccb082e4f5eb95e0082cfe22ef6,"{""PROJECT"":""KG-DWN-98/2 Cluster-2""}",7d9bd207a75a0ebf8e8f717efe296fc4c5ffe178a7b5fcd7c1fd07a77bdf1fa4,d8b21dff33b5dda832b3530788a4673ab69971c9294acf0f87fbe2841e7eec5f,true
src-prj-84ef4c029b34417b9c3ddd76bbbaf958,"{""PROJECT"":""Kaminho (Cameia & Golfinho)""}",884c9b4ca332350565b057e5c4da55f69a7e5bbf91e0cf8c81b4e86085318ec1,24e8d5a8c5546522360f9869d6a0843ebed72016e777758be3c2bd6e3c9a3b1f,true
src-prj-50658fb9acf9438fbc7d2c4687eb7b42,"{""PROJECT"":""Kaombo""}",7353f35a0e84f982baac5e8c1ae9b81227fd083f2d8407933f77051ddaf0de89,71a61fa7a6a346b9a480b603274b87a7eae4e765987a334eac709dde37ca9ae1,true
src-prj-ad2c7c57a8ca4df0b332c863f95320fc,"{""PROJECT"":""Karish & Tanin""}",9c7ab20d1960fc27a3703152283e9ff09fcb2cdc84894ef8cd540f73c26f3824,e66ecfbdfb16ad1ea344e7cc3a84d8a76c83a80ee913730dda69fc1f658f96e2,true
src-prj-baef437d01d74883bfdfc7cfa729b9f1,"{""PROJECT"":""Kaskida""}",a9bd1c6c2954503dd99709efec7800f0c309224ceac088ffa84717906393b8ee,21168407545c219963ea9ce73f862e08b935323c5cfea763ef71a8cd84cc8d72,true
src-prj-f01a8c97cf344b179a941eac6cf555ae,"{""PROJECT"":""Kikeh""}",6eb653ce05ca93f719c9bcebdedeee06c802c3408dd3e8bce80449ebf08b9185,646cdddc90b62d1e46ffb72187120ae52569ffe76e7b2123124c45d5a42ffa48,true
src-prj-6f9731f337b540ec96d83f6ce8efb4aa,"{""PROJECT"":""Kraken""}",f51e73c708df70deac6259bf04d09f61522a0fd537103d02f8a1cde729bf55bf,967e73d0711813b89d7f0da725d7cb56803508e9f0c490013356b639167072f0,true
