award_id,source_award_key,project_id,display_label,state,active,aliases_json,validation_group_id,created_source_sha256,migration_note,no_reuse
awd-ee63badba80f4d4b8bad3340302272c2,src-awd-ca2a36a2d7e044cbaafcd3878f2c0017,prj-d7d3235de62d4aa89fea9a7e0b8cb9b4,Moho Nord (incl. Phase 1bis) / 2014 / Fugro,active,true,[],vg-prj-5d7e39aee2934137a9b19688575d7993,62b0324d8fa06ebfd65db885b4f447581be39bbd50518681aab0a15a180a6a38,,true
awd-6b35f4a763764b48aa24328454a39d87,src-awd-9d4b07001d7b4b16b59a9b22960469b0,prj-f54b0ddd670345a9aa9224946f565609,Zinia Phase 2 / 2018 / Subsea 7,active,true,[],vg-prj-27833a5fd95742e38c125280fee15e25,09f0ba9a53cf1bf380ce1d2585aaf78f772f70ec99706d2245b536a0b8ba00e5,,true
awd-9d58c16581bd480699abd8eefd07b0bb,src-awd-b3268cfdd00942e78877424ba26df80c,prj-f54b0ddd670345a9aa9224946f565609,Zinia Phase 2 / 2018 / TechnipFMC,active,true,[],vg-prj-27833a5fd95742e38c125280fee15e25,0723cb7323f4db1ff4045a7de57e7cbd494ba9491b631a21544c61224e126370,,true
awd-fe005d66228a4b6fb5ed7dd8454f6f6f,src-awd-db99af88d9974d0d8ed95d8f3261800a,prj-bdee97b3b64c461fafc086d671e9d305,Mafumeira Sul / 2012 / Saipem (Petromar JV),active,true,[],vg-prj-d5f8b2b7d6d24c65b1707037bc954c26,8c4c3bac9f5faea2388ff9337b18b3533cc43c569f83078fbab27d19b8daea4c,,true
awd-89af06246a1c4e7dac5d317c6399204c,src-awd-9c6ff95872bf4d0a8707a3638449feb9,prj-bdee97b3b64c461fafc086d671e9d305,Mafumeira Sul / 2013 / DSME + Mustang/Wood Group,active,true,[],vg-prj-d5f8b2b7d6d24c65b1707037bc954c26,16c191358cb14b0b1257925a58a2bc8c96119087e9493916b2211f3a7192350b,,true
awd-ec718d37aa6840f187b55f54519cd680,src-awd-a039806c72b94878878896c83c6a4b6f,prj-bdee97b3b64c461fafc086d671e9d305,Mafumeira Sul / 2013 / McDermott,active,true,[],vg-prj-d5f8b2b7d6d24c65b1707037bc954c26,e684be5857ca8ff00bcc8c3eea0128ad7bb77d98672393802302e59789c07807,,true
awd-ca754e71a73f4c5aa94c859589d65713,src-awd-08047e66a3914740bef9d02303d4d6d5,prj-c034a4c1580a49b194cbc400d6df1a4e,Uaru / 2023 / TechnipFMC,active,true,[],vg-prj-eda3014139854c7ebd0029ad93c0e7e8,132cf14356e292333336bd6f84efdb89ef6e6aa62aec7a3fc0ef117178b8e4c4,,true
awd-676465b546ae49cf9954079ca16b1aa5,src-awd-feba8743e4ff4b11b6b18b572f156cb1,prj-c034a4c1580a49b194cbc400d6df1a4e,Uaru / 2023 / Saipem,active,true,[],vg-prj-eda3014139854c7ebd0029ad93c0e7e8,91b40fd80c2fea6630271bc1cab64a50a18d26cdc41beecb469d64b62dec8293,,true
awd-2fa570e250db4ba8bc9377b283c22550,src-awd-47fb9e0082f6443b89d994dc428578b5,prj-c034a4c1580a49b194cbc400d6df1a4e,Uaru / 2023 / MODEC,active,true,[],vg-prj-eda3014139854c7ebd0029ad93c0e7e8,6d6f2f0dbebed039f3484bb70346976d815a707665d18986d9fc1aec7d8cefa4,,true
awd-c927d121d9b74300a2eb79d08133a00c,src-awd-8610b93dd94a4063ba8f774bd5f65351,prj-c034a4c1580a49b194cbc400d6df1a4e,Uaru / 2023 / Noble Corporation,active,true,[],vg-prj-eda3014139854c7ebd0029ad93c0e7e8,0bc169974fcae52ea05cab5404c2210e7043687aadde3cc819153351be9b3b7f,,true
awd-dadfd966c96e4f108de68ff2bb76bda0,src-awd-8e6c2d4afd7d40aa83edae98f1423794,prj-82c0843d90df4cee9577631612ecfe61,Whiptail / 2024 / TechnipFMC,active,true,[],vg-prj-fdcecbd3c98c422a92bba8b200912f4c,1b5a313d07902223ea987aa378fa30f2e7db6117bf13eda3f46e7d7e43ebd78d,,true
awd-11b9e00236754011917f91dbe605110c,src-awd-ae55b82ff6294414a71f260780a8ada8,prj-82c0843d90df4cee9577631612ecfe61,Whiptail / 2024 / Saipem,active,true,[],vg-prj-fdcecbd3c98c422a92bba8b200912f4c,3d100876912de9849e40b3ba740c8f69b66a4502c8c451e32d309da50efbcc57,,true
awd-ca6d94fc6c13465bacb1b8642caebe2c,src-awd-e34effe351d34471a21b973c1d677e91,prj-82c0843d90df4cee9577631612ecfe61,Whiptail / 2024 / SBM Offshore,active,true,[],vg-prj-fdcecbd3c98c422a92bba8b200912f4c,bf2b62722d8daab06aa0224a98a37800e607abefc01d441207a28d9b0b3035c8,,true
awd-0ebc73f1f5154240b0c20bcbe3920327,src-awd-202b613a714d4246bffb477fd55379a0,prj-8bcff3ed14fb41dfb24dfa0307cf7ab2,Hammerhead / 2025 / TechnipFMC,active,true,[],vg-prj-d94d9d92e7f746f298cbfd04f73f6503,17014cbe630a73f7e65db6586f42cefac29a72db03aa332315b4f40354acd657,,true
awd-0305719173b847a1a4bb000c65832004,src-awd-a7b8b0c8e94f4b7298ad1981aa13a134,prj-8bcff3ed14fb41dfb24dfa0307cf7ab2,Hammerhead / 2025 / Saipem,active,true,[],vg-prj-d94d9d92e7f746f298cbfd04f73f6503,f032b0eba53c4ba984e3984e48a631e330aa97cf43c0c591800c89257a222a64,,true
