requirement_id,source_requirement_key,project_id,work_package_slug,locator_json,locator_sha256,created_locator_sha256,state,active,validation_group_id,no_reuse,migration_note
req-000001,src-req-000001,prj-000001,host_tlp,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""host_tlp""}",7ff97ffc9a5949bdfdb4620082e2e933ec9accfc8c987eff850eedbdcee5a098,7ff97ffc9a5949bdfdb4620082e2e933ec9accfc8c987eff850eedbdcee5a098,active,true,vg-cost-map-pilot-000001,true,
req-000002,src-req-000002,prj-000001,dry_trees,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""dry_trees""}",17b9bdf06447fdc4043c4e0e7ed6d4ccd1e8de60d8f409c3833e100da75ab6be,17b9bdf06447fdc4043c4e0e7ed6d4ccd1e8de60d8f409c3833e100da75ab6be,active,true,vg-cost-map-pilot-000001,true,
req-000003,src-req-000003,prj-000001,wells,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""wells""}",9e41d64620ed81f7cb183a3449e1843e699c2bb807b57502048d430e7c75614b,9e41d64620ed81f7cb183a3449e1843e699c2bb807b57502048d430e7c75614b,active,true,vg-cost-map-pilot-000001,true,
req-000004,src-req-000004,prj-000001,drilling_completion,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""drilling_completion""}",ec71145085b2bfd449eb4788e7f478eb10e12e69c6e4f7ccc5a94dbef70b94ff,ec71145085b2bfd449eb4788e7f478eb10e12e69c6e4f7ccc5a94dbef70b94ff,active,true,vg-cost-map-pilot-000001,true,
req-000005,src-req-000005,prj-000001,marine_riser_tensioner,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""marine_riser_tensioner""}",62a11cc1bc922237f1a6cbcdc5f546e4b19e46cc7d88b16805e8ddcc46fcd5e3,62a11cc1bc922237f1a6cbcdc5f546e4b19e46cc7d88b16805e8ddcc46fcd5e3,active,true,vg-cost-map-pilot-000001,true,
req-000006,src-req-000006,prj-000001,export,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""export""}",99a50e213a00c74ea917a5cc1d70405acd3305b56dcee8c0bfeeb6a1396c48f7,99a50e213a00c74ea917a5cc1d70405acd3305b56dcee8c0bfeeb6a1396c48f7,active,true,vg-cost-map-pilot-000001,true,
req-000007,src-req-000007,prj-000001,installation_hookup,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""installation_hookup""}",e976f90ca27b959841b72d094f40dab77c897d0e0eacb0e568fe64038a367cb5,e976f90ca27b959841b72d094f40dab77c897d0e0eacb0e568fe64038a367cb5,active,true,vg-cost-map-pilot-000001,true,
req-000008,src-req-000008,prj-000001,controls,"{""PROJECT_ID"":""prj-000001"",""WORK_PACKAGE_SLUG"":""controls""}",c896a5106f92e535fe1038d64cadd3e3dd3bd732f73d65ac20b853b863006803,c896a5106f92e535fe1038d64cadd3e3dd3bd732f73d65ac20b853b863006803,active,true,vg-cost-map-pilot-000001,true,
